model,model_s,pair,pair_s,pair_label,exchanges_total,stopped_by_consensus,mean_compound,neg_count_total,mean_drift_score,distinct1,sem_div,verbosity_a,verbosity_b
dolphin-mistral:7b,dolphin-mistral:7b,israel_palestine,IL/PA,Israel / Palestine,2,True,0.2162359722222222,9,0.030330882352941176,0.34398976982097185,0.187669038772583,189.0,202.0
dolphin-mistral:7b,dolphin-mistral:7b,turkey_armenia,TR/AM,Turkey / Armenia,2,True,0.4630581322843823,4,0.0,0.29162916291629165,0.10601806640625,276.5,279.0
dolphin-mistral:7b,dolphin-mistral:7b,tutsi_hutu,TU/HU,Tutsi / Hutu (Rwanda),2,True,0.4522089285714286,3,0.03645833333333333,0.3651685393258427,0.24036023020744324,183.0,173.0
gemma2:9b,gemma2,israel_palestine,IL/PA,Israel / Palestine,3,True,0.09526214947089946,19,0.11574074074074074,0.3668016194331984,0.3354788343111674,209.66666666666666,202.0
gemma2:9b,gemma2,turkey_armenia,TR/AM,Turkey / Armenia,3,True,0.27500651848151847,12,0.08848188848188848,0.3790322580645161,0.3412243048350016,186.0,186.0
gemma2:9b,gemma2,tutsi_hutu,TU/HU,Tutsi / Hutu (Rwanda),20,False,0.5986073957884436,16,0.02305555555555556,0.21310935441370224,0.44804684212670115,76.9,74.9
llama3.1:8b,llama3.1,israel_palestine,IL/PA,Israel / Palestine,3,True,0.2049008467348928,26,0.045238095238095244,0.25874125874125875,0.21789637009302776,351.0,364.0
llama3.1:8b,llama3.1,turkey_armenia,TR/AM,Turkey / Armenia,5,True,0.30709114751914757,19,0.09556998556998557,0.24064592359196535,0.23772313992182414,225.6,282.2
llama3.1:8b,llama3.1,tutsi_hutu,TU/HU,Tutsi / Hutu (Rwanda),3,True,0.24999960837773336,23,0.09878917378917379,0.26170212765957446,0.18793980280558267,319.3333333333333,307.3333333333333
mistral:7b,mistral,israel_palestine,IL/PA,Israel / Palestine,2,True,0.4396220454545454,6,0.05271291208791209,0.3026724673710379,0.26620692014694214,386.5,418.0
mistral:7b,mistral,turkey_armenia,TR/AM,Turkey / Armenia,3,True,0.5585781263616557,1,0.10869963369963369,0.22747747747747749,0.14351820548375446,307.0,285.0
mistral:7b,mistral,tutsi_hutu,TU/HU,Tutsi / Hutu (Rwanda),2,True,0.15986241937410414,25,0.1288961038961039,0.16698202459791864,0.06604645649592082,563.0,494.0
phi3.5:3.8b,phi3.5,israel_palestine,IL/PA,Israel / Palestine,20,False,0.04458484964639867,31,0.005161064425770308,0.2549867996479906,0.7869006368692797,424.15,257.65
phi3.5:3.8b,phi3.5,turkey_armenia,TR/AM,Turkey / Armenia,20,False,0.02802668452380953,11,0.0,0.5131485429992892,0.7361458286290797,36.6,33.75
phi3.5:3.8b,phi3.5,tutsi_hutu,TU/HU,Tutsi / Hutu (Rwanda),20,False,0.02301125,6,0.0,0.5720524017467249,0.771423452341547,17.5,16.85
qwen2.5:7b,qwen2.5,israel_palestine,IL/PA,Israel / Palestine,3,True,0.3047866593847776,16,0.0,0.21998480243161095,0.19202859004338582,406.6666666666667,470.6666666666667
qwen2.5:7b,qwen2.5,turkey_armenia,TR/AM,Turkey / Armenia,3,True,0.3097993929725497,12,0.10207500832500833,0.2510334460729049,0.1968549648920695,401.6666666666667,485.3333333333333
qwen2.5:7b,qwen2.5,tutsi_hutu,TU/HU,Tutsi / Hutu (Rwanda),2,True,0.41158216837342226,4,0.17187499999999997,0.22236340533672172,0.050779143969217934,369.0,418.0
