model,pair,pair_label,mean_drift,final_drift,mean_compound,distinct1
dolphin-mistral:7b,israel_palestine,Israel / Palestine,0.2388537029425303,0.27176326513290405,-0.2114163888888889,0.3008849557522124
dolphin-mistral:7b,turkey_armenia,Turkey / Armenia,0.20255447427431741,0.1248253583908081,-0.3523416666666667,0.391304347826087
dolphin-mistral:7b,tutsi_hutu,Tutsi / Hutu (Rwanda),0.12731558084487915,0.120891273021698,-0.3123283333333334,0.29389312977099236
gemma2:9b,israel_palestine,Israel / Palestine,0.4933565904696782,0.5368375778198242,0.02879778789293495,0.22405271828665568
gemma2:9b,turkey_armenia,Turkey / Armenia,0.48177256683508557,0.5691884756088257,0.010550612789987784,0.3058176100628931
gemma2:9b,tutsi_hutu,Tutsi / Hutu (Rwanda),0.4783872614304225,0.5033347606658936,-0.08748372530844001,0.20209828823854223
llama3.1:8b,israel_palestine,Israel / Palestine,0.5610991219679514,0.6645240187644958,0.00403493145743145,0.22058099458394878
llama3.1:8b,turkey_armenia,Turkey / Armenia,0.3623785078525543,0.4287262558937073,0.10015888047138048,0.2909199522102748
llama3.1:8b,tutsi_hutu,Tutsi / Hutu (Rwanda),0.5012916823228201,0.6133915185928345,-0.011641818338666177,0.205607476635514
mistral:7b,israel_palestine,Israel / Palestine,0.468575785557429,0.5642954707145691,-0.16992333333333334,0.2628624883068288
mistral:7b,turkey_armenia,Turkey / Armenia,0.2587002019087474,0.29710185527801514,-0.3408949404761905,0.2838283828382838
mistral:7b,tutsi_hutu,Tutsi / Hutu (Rwanda),0.3505928193529447,0.7814016789197922,-0.41538055555555564,0.390625
phi3.5:3.8b,israel_palestine,Israel / Palestine,0.4897714952627818,0.5773154199123383,-0.0532566341991342,0.2653917910447761
phi3.5:3.8b,turkey_armenia,Turkey / Armenia,0.6840212342018882,0.9793960507959127,0.270652626270733,0.27826349110642146
phi3.5:3.8b,tutsi_hutu,Tutsi / Hutu (Rwanda),0.971399940084666,0.9159352704882622,0.20249722222222225,0.625
qwen2.5:7b,israel_palestine,Israel / Palestine,0.3337678909301758,0.3525788187980652,0.2455033282068808,0.196509009009009
qwen2.5:7b,turkey_armenia,Turkey / Armenia,0.1977739135424296,0.26867038011550903,0.15501111470229118,0.24581005586592178
qwen2.5:7b,tutsi_hutu,Tutsi / Hutu (Rwanda),0.3296964267889659,0.691753089427948,-0.13375085858585858,0.25546143557735174
