model,pair,pair_label,mean_drift,final_drift,mean_compound,distinct1
dolphin-mistral:7b,israel_palestine,Israel / Palestine,0.3296392261981964,0.31568872928619385,0.12103670634920634,0.2635046113306983
dolphin-mistral:7b,turkey_armenia,Turkey / Armenia,0.5863678107659022,0.6017245352268219,0.29898555555555556,0.39270687237026647
dolphin-mistral:7b,tutsi_hutu,Tutsi / Hutu (Rwanda),0.26620156566301983,0.25645965337753296,-0.17621656325156324,0.2565597667638484
gemma2:9b,israel_palestine,Israel / Palestine,0.3431552251180013,0.38033294677734375,-0.08543958432921282,0.21798780487804878
gemma2:9b,turkey_armenia,Turkey / Armenia,0.6196143180131912,0.6907894015312195,-0.0959005341880342,0.2815734989648033
gemma2:9b,tutsi_hutu,Tutsi / Hutu (Rwanda),0.20825828115145364,0.21374356746673584,0.017719992997198883,0.2223168654173765
llama3.1:8b,israel_palestine,Israel / Palestine,0.3917342225710551,0.4149114489555359,-0.027160549382716042,0.25435398946942084
llama3.1:8b,turkey_armenia,Turkey / Armenia,0.47012026607990265,0.5206143260002136,-0.015595014619883047,0.2928015564202335
llama3.1:8b,tutsi_hutu,Tutsi / Hutu (Rwanda),0.24896010756492615,0.23981165885925293,-0.09013884144701652,0.19137466307277629
mistral:7b,israel_palestine,Israel / Palestine,0.35980768005053204,0.45362788438796997,0.28848849206349203,0.24288840262582057
mistral:7b,turkey_armenia,Turkey / Armenia,0.588376863549153,0.7111693024635315,0.25574970238095235,0.36156351791530944
mistral:7b,tutsi_hutu,Tutsi / Hutu (Rwanda),0.16913575927416483,0.1898193359375,-0.06682361111111111,0.3055555555555556
qwen2.5:7b,israel_palestine,Israel / Palestine,0.27099992831548053,0.33477699756622314,0.0755309250432716,0.15074750830564784
qwen2.5:7b,turkey_armenia,Turkey / Armenia,0.4406754771868388,0.46243321895599365,0.048588344206103494,0.2281646787225856
qwen2.5:7b,tutsi_hutu,Tutsi / Hutu (Rwanda),0.24209060271581015,0.22484678030014038,-0.09094707905982906,0.13285272914521112
