model,model_s,pair,pair_s,pair_label,exchanges_total,stopped_by_consensus,mean_compound,neg_count_total,mean_drift_score,distinct1,sem_div,verbosity_a,verbosity_b
dolphin-mistral:7b,dolphin-mistral:7b,israel_palestine,IL/PA,Israel / Palestine,20,False,0.46931506168831183,21,0.05375,0.10323159784560143,0.25254054841322776,118.7,104.1
dolphin-mistral:7b,dolphin-mistral:7b,turkey_armenia,TR/AM,Turkey / Armenia,3,True,0.2106615811965812,17,0.40505050505050505,0.26350851221317545,0.13949203491210938,238.33333333333334,212.0
dolphin-mistral:7b,dolphin-mistral:7b,tutsi_hutu,TU/HU,Tutsi / Hutu (Rwanda),3,True,0.2008615758098111,17,0.5425213675213675,0.26870990734141126,0.1985963225364685,217.33333333333334,250.33333333333334
gemma2:9b,gemma2,israel_palestine,IL/PA,Israel / Palestine,4,True,-0.02551367822601376,48,0.5482142857142858,0.27238403451995685,0.3806176111102104,223.5,240.0
gemma2:9b,gemma2,turkey_armenia,TR/AM,Turkey / Armenia,4,True,-0.015564363952020183,38,0.2569444444444444,0.3328358208955224,0.3360423211540495,157.75,177.25
gemma2:9b,gemma2,tutsi_hutu,TU/HU,Tutsi / Hutu (Rwanda),5,True,-0.05753417588388563,76,0.40658730158730155,0.2583947583947584,0.3263551155726115,235.2,253.2
llama3.1:8b,llama3.1,israel_palestine,IL/PA,Israel / Palestine,4,True,0.14456211391683865,27,0.3680555555555555,0.24361158432708688,0.2940013302224023,238.75,348.25
llama3.1:8b,llama3.1,turkey_armenia,TR/AM,Turkey / Armenia,3,True,-0.011144517713365554,41,0.41870629370629375,0.2782782782782783,0.31095932324727377,326.3333333333333,339.6666666666667
llama3.1:8b,llama3.1,tutsi_hutu,TU/HU,Tutsi / Hutu (Rwanda),4,True,0.10399164682818901,38,0.30833333333333335,0.24073335990434436,0.3462858625820705,314.5,312.75
mistral:7b,mistral,israel_palestine,IL/PA,Israel / Palestine,9,True,0.39421668726335396,33,0.5031084656084657,0.1134020618556701,0.20673203857895595,272.44444444444446,277.22222222222223
mistral:7b,mistral,turkey_armenia,TR/AM,Turkey / Armenia,3,True,0.4520283993783994,11,0.5388888888888889,0.2883631713554987,0.18526650269826253,245.66666666666666,275.6666666666667
mistral:7b,mistral,tutsi_hutu,TU/HU,Tutsi / Hutu (Rwanda),10,True,0.47706756557331553,22,0.3457142857142857,0.09726748558535973,0.0967509621068051,183.0,215.9
qwen2.5:7b,qwen2.5,israel_palestine,IL/PA,Israel / Palestine,4,True,0.2507054337843552,40,0.3319128787878788,0.21182266009852216,0.3457369091255324,459.5,555.5
qwen2.5:7b,qwen2.5,turkey_armenia,TR/AM,Turkey / Armenia,8,True,0.20299897899955435,90,0.500581363081363,0.09539910638811738,0.1579114725192388,484.75,550.375
qwen2.5:7b,qwen2.5,tutsi_hutu,TU/HU,Tutsi / Hutu (Rwanda),4,True,0.16289194327822548,53,0.4641122766122766,0.1726147123088128,0.1599214928490775,504.5,525.25
